title,abstract
Australia Eyes a Fraught Pivot from Coal Power to Renewables,"As the country’s oldest power station closed, experts warn that the country needs a clearer strategy to manage its exit from coal power."
A Once-Promising Green Energy Technology Hits a Roadblock,Tidal power turbines operating on the Bay of Fundy in Nova Scotia were suspended after the company running them was unable to get a permit to continue testing.
"A Hydropower Renaissance, but Where Are the Giant Dams?","So-called pumped storage, rather than conventional dams, is emerging as the future of deriving electricity from water's gravitational qualities."
Heat Pump Maker’s $13.3 Billion Sale Raises Questions in Germany,"Carrier Global Corp., plans to acquire a unit of Viessmann Group that produces heat pumps, seen in Berlin as the heating solution for Germany’s green future."
Nuclear Waste Is Misunderstood,We must stop seeing nuclear waste as a dangerous problem and instead recognize it as a safe byproduct of carbon-free power.
Biden Has Something He’d Like to Tell You,And it can’t wait any longer.
"Roll the Dice, Save Gotham From Climate Catastrophe!","A board game challenges players to decarbonize New York City, and energy experts are paying attention."
"Do You Even Decarbonize, Bro?",‘Decarb bros’ think the best way to combat climate change is to ditch the gloom of earlier environmentalism and focus on what new technology can do.
The Debt Ceiling Debate Is About More Than Debt,Republicans’ opening bid to avert economic catastrophe by raising the nation’s borrowing limit focuses more on energy policy than reducing debt.
Tesla’s Profit Dropped Sharply in First Quarter as It Cut Prices,The electric carmaker has reduced prices by thousands of dollars this year to bolster demand and fend off competition.
"Before We Invest Billions in This Clean Fuel, Let’s Make Sure It’s Actually Clean","If the Biden administration botches tax credit rules, it could unintentionally create a dirty hydrogen monster."
Putin’s Energy Offensive Has Failed,He tried to weaponize natural gas. It didn’t work.
"With Russia’s Exit, Norway Becomes Europe’s Energy Champion","It is now the continent’s largest supplier of natural gas, and last year the country’s energy earnings jumped $100 billion."
These Tiffs Over Electric Vehicles Are Not What They Seem,"Competition, not cooperation, has driven the bulk of climate progress over the past few years."
A Push to Turn Farm Waste Into Fuel,Climate change provisions in the Inflation Reduction Act have spurred developers to build ambitious renewable energy projects that turn corn into ethanol and manure into methane.
The Brooklyn Navy Yard Has Become a Lab for Planet-Saving Tech,"Once a building ground for battleships, the site is a city-within-a-city where companies can test their solutions for a greener future."
"House Passes G.O.P. Energy Bill, Pushing to Roll Back Biden Climate Measures","The legislation, which had no chance of making it through the Senate, would expand mining and fossil fuel production while repealing some elements of a major new law to combat climate change."
"In Rare Show of Force, House Democrats Pressure Hochul on Climate Bill","Several House members, led by Jamaal Bowman, are pushing the governor to support a climate policy proposed by the left-leaning Legislature."
I Watched an Offshore Wind Farm Make Landfall on Long Island,The first cable that will carry power from an offshore wind farm to New York came ashore on Long Island last week.
Germany and E.U. Agree to Exception in Planned Ban on Combustion Engines,Berlin has been pushing to allow the sale of vehicles running on synthetic fuels past 2035. Its dispute with the E.U. threatened the bloc’s climate goals.
LG Will Spend $5.5 Billion on a Battery Factory in Arizona,Investment plans for U.S. battery production have increased since President Biden signed a law that offers generous incentives for electric cars and green energy.
Germany Pushes for Exception in Law Banning Combustion Engines,Berlin and Brussels are scrambling for a solution after Germany calls for allowing cars to run on synthetic fuels. The move could endanger the E.U.’s climate goals.
Biden Creates Two National Monuments in the Southwest,The Spirit Mountain area in Nevada and Castner Range in Texas will be off limits to development.
How to Fight Climate Change for a Bargain,A new study argues that ramping up renewable energy production would bring down costs more quickly.
"Climate Change Is Speeding Toward Catastrophe. The Next Decade Is Crucial, U.N. Panel Says.","A new report says it is still possible to hold global warming to relatively safe levels, but doing so will require global cooperation, billions of dollars and big changes."
How Big of a Climate Betrayal Is the Willow Oil Project?,The world wants to have it both ways on fossil fuels.
"As Oil Companies Stay Lean, Workers Move to Renewable Energy","Solar, wind, geothermal, battery and other alternative-energy businesses are adding workers from fossil fuel companies, where employment has fallen."
Inside the Global Race to Turn Water Into Fuel,"Hundreds of billions of dollars are being invested in a high-tech gamble to make hydrogen clean, cheap and widely available. In Australia’s Outback, that starts with 10 million new solar panels."
Clean Energy Is Suddenly Less Polarizing Than You Think,G.O.P. elites are simply lagging their states.
The Promise and Peril of Biden’s Climate Policy,It’s a really big deal — but will the grid be able to handle it?
The U.S. Has Billions for Wind and Solar Projects. Good Luck Plugging Them In.,An explosion in proposed clean energy ventures has overwhelmed the system for connecting new power sources to homes and businesses.
Here’s What the Other Republican Candidates Should Say to Trump,And quick.
The Shift to Renewable Energy Is Speeding Up. Here’s How.,The head of the world’s leading energy organization called the war in Ukraine an “accelerator” of the transition.
Europe Turned an Energy Crisis Into a Green Energy Sprint,The brutal European winter that wasn’t.
"A Huge, Uncharted Experiment on the U.S. Economy Is About to Begin","If it fails or misfires, then it will greatly limit the number of tools to fight climate change or a recession."
"As Federal Cash Flows to Unions, Democrats Hope to Reap the Rewards","In places like West Virginia, money from three major laws passed by Congress is pouring into the alternative energy industry and other projects. “I think it’s a renaissance for the labor movement,” said one union official."
"BP, in a Reversal, Says It Will Produce More Oil and Gas","The company said global concerns about energy security had prompted the change, as it reported record profits for 2022."
How to Get Government Aid to Ditch Fossil Fuels,"Americans can get tax credits to go electric, but only if they have cash upfront. Other countries have programs, too."
Shell’s Profit Soared to $42 Billion Last Year,"The record haul, pushed by high energy prices and a hunger for liquefied natural gas, came as a new chief signaled a more “balanced approach” to renewable energy."
Nebraskans Are Sitting on Strategic Metals. Is Mining a Patriotic Duty?,"One county has a wealth of minerals essential to defense and the green economy. Mining would transform the community, yet many say they feel a patriotic obligation to dig."
This Guide Can Help You Save Money and Fight Climate Change,"Whether you are renovating your home, upgrading appliances or buying an electric car, this guide can help you take advantage of savings from the Inflation Reduction Act."
A Copper Mine Could Advance Green Energy but Scar Sacred Land,"Tribal groups are fighting an Arizona project whose backers say increasing the supply of copper, crucial to batteries, would reduce fossil-fuel use."
Climate Change May Usher in a New Era of Trade Wars,Countries are pursuing new solutions to try to mitigate climate change. More trade fights are likely to come hand in hand.
The War in Ukraine Upended Energy Markets. What Does That Mean for the Climate?,"Almost a year after Russia launched its invasion, assessing the impact on the oil industry and greenhouse gas goals is not so simple."
A Deal to Help South Africa Is a Breakthrough for the World,A plan to promote the shift to renewable energy could lead to real progress on climate change.
Cooperation on Climate Is Emerging in the Middle East,"After the Abraham Accords, partnerships between companies in Israel and Arab countries have led to the kinds of initiatives that will be on the Davos agenda."
A Roadmap for Green Transformation,"Hitachi presented its vision for net-zero innovation at Climate Week NYC, furthering dialogue around a livable and sustainable future."
Electric Vehicles Keep Defying Almost Everyone’s Predictions,The revolution is also a case study in how much further we have to go.
U.S. Carbon Emissions Grew in 2022,"Emissions ticked up 1.3 percent last year, even as renewables surpassed coal."
Korean Solar Company Plans to Build $2.5 Billion Plant in Georgia,Hanwha Qcells expects to make solar panels and their components in the United States to take advantage of President Biden’s climate policies.
The New Soldiers in Propane’s Fight Against Climate Action: Television Stars,An industry group is spending millions of dollars to push back against efforts to move heating away from oil and gas.
The Dystopia We Fear Is Keeping Us From the Utopia We Deserve,"We’ve lost sight of the world that abundant, clean energy could make possible."
Why Are Energy Prices So High? Some Experts Blame Deregulation.,California and the 34 other states that have deregulated all or parts of their electricity system tend to have higher rates than the rest of the country.
Is a Dam in Rural Portugal a Key to Our Alternative Energy Future?,"When the Portuguese electric power grid needs more electricity, a large multinational power company releases millions of gallons of water from a dammed reservoir."
Cheer Up! The World Is Better Off Than You Think.,"The year 2022 was not great. But even in the midst of overlapping calamities, progress is being made."
The U.S. Will Need Thousands of Wind Farms. Will Small Towns Go Along?,"In the fight against climate change, national goals are facing local resistance. One county scheduled 19 nights of meetings to debate one wind farm."
This Year Was the Beginning of a Green Transition,Switching off fossil fuels is going to be a bumpy ride — an energy disruption.
Clean Energy Quest Pits Google Against Utilities,"Google says its goals for carbon-free power are impeded by state-regulated utilities, particularly in the Southeast, that lack a competitive market."
Here Is What Is Really Strangling the Energy Transition,Antiquated power lines can’t carry the added electricity from new solar and wind projects.
We Need Fusion Energy to Advance Our Climate Endgame,"Climate change is a long game, and we must think beyond our present task of net zero emissions."
California Reduces Subsidies for Homes With Rooftop Solar,"The decision, which would reduce the incentive for homeowners to install solar panels, could influence other states to make similar changes."
Big Oil Companies Are Bullies That ‘Want to Be Seen as Good Guys’,Rep. Ro Khanna of California on how a House investigation revealed the continuing intransigence and lack of introspection of the oil industry.
How to Hand Out Billions in Climate Subsidies? Very Carefully.,"John Podesta, the White House aide overseeing new tax credits, said rules were expected to be in place within months. Avoiding waste and fraud is a priority."
Majoring in Renewable Energy,"As business and industry are taking more interest in renewable energy, academia is not far behind."
Renewable Energy at the Kibbutz,Kibbutzim in southern Israel want to position their region as the Silicon Valley of renewable energy.
Tax Problems of Renewable Energy,"As the wind and solar industries struggle amid the economic crisis, the new Congress is working on a solution."
Of Renewable Energy and Antarctica,"Robert Swan, an Antarctic evangelist, hosts students and oil executives at a base powered by renewable energy. The aim: convince them that the continent’s rich resources need not be exploited."
"Renewables Will Overtake Coal by Early 2025, Energy Agency Says","In a new report, the international group said that solar, wind and other renewable sources will expand much more swiftly than forecast last year."
A Renewable Energy Boom,"With wind and solar power becoming much more affordable, world leaders have no excuse for failing to press for clean energy."
Pitfalls on renewable energy,
Remember Renewable Energy?,Washington must do a lot more to promote renewable energy.
A renewable energy ‘breakthrough’,The Biden administration has opened up California’s coast to wind farms.
Batteries and Renewable Energy Set to Grow Together,"As sun and wind become bigger parts of the electricity mix, scientists are pushing to increase the capacity of battery storage."
Debating Protectionism on Renewable Energy,Gov. Arnold Schwarzenegger has come out in support of importing clean power into California. But other states have shaped their renewable-energy requirements to protect local industries.
